class_id,class_label,base_species_or_group,label_type,coverage_status,recommended_name,recommended_url,notes,expert_description_status,expert_visual_description,expert_description_source,source_page_verified_in_this_pass,expert_description_sections,description_notes,safe_use_note
17,Owls,Owls,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
18,Nightjars,Nightjars,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
19,Swifts and Hummingbirds,Swifts and Hummingbirds,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
20,Kingfishers and Allies,Kingfishers and Allies,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
21,Woodpeckers,Woodpeckers,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
22,Perching Birds,Perching Birds,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
23,Black-bellied Plover,Black-bellied Plover,species_label,likely_covered_species_page,Black-bellied Plover,https://www.allaboutbirds.org/guide/Black-bellied_Plover/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A chunky, large-headed shorebird with a short, thick bill (heavier than bills of golden-plovers). It has long, pointed wings and moderately long legs. Breeding males are a dazzling mix of black and white: checkered upperwings, a black face and belly, a white crown, nape, and undertail, and dark legs and bill. Adult females in breeding plumage are similar but with less contrast. Nonbreeding adults are pale gray above and grayish or whitish below. Juveniles are but more scaly-looking on the back. All plumages show black “armpits” in flight.",https://www.allaboutbirds.org/guide/Black-bellied_Plover/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
24,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,species_label,likely_covered_species_page,Black-bellied Whistling-Duck,https://www.allaboutbirds.org/guide/Black-bellied_Whistling-Duck/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"The Black-bellied Whistling-Duck is a large, gooselike duck with a long neck, long legs, and short tail. In flight, look for their broad wings, long neck, and hunched back. Black-bellied Whistling-Ducks are dark overall: a chestnut breast and black belly are set off by a bright-pink bill and legs, grayish face, and broad white wing stripe, also visible in flight. Immatures are duller than adults, with a dark bill, pale breast, and mottled black belly.",https://www.allaboutbirds.org/guide/Black-bellied_Whistling-Duck/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
25,Tyrant Flycatchers,Tyrant Flycatchers,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
26,Semipalmated Plover,Semipalmated Plover,species_label,likely_covered_species_page,Semipalmated Plover,https://www.allaboutbirds.org/guide/Semipalmated_Plover/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A small, compact shorebird with a short, stubby bill, a round head, and large eyes. The body is plump, with a short neck and medium-length legs. Adults are brown above, white below, with one black band on the breast. Black around the eye, with white marks above eye and bill and a white band above the black collar. The short orange bill has a black tip. Juveniles have brown instead of black on the face, and a brown breast band that is sometimes incomplete. Legs are yellow-orange.",https://www.allaboutbirds.org/guide/Semipalmated_Plover/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
27,Greater White-fronted Goose,Greater White-fronted Goose,species_label,likely_covered_species_page,Greater White-fronted Goose,https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A medium-sized, heavy-bodied goose with a small bill, thick legs, and a short neck. Adults are mostly brown with white feathering around the base of a pinkish-orange bill. Black barring marks the belly and the undertail is white. In flight a white ""U"" at the base of the tail is visible. At rest, a thin white line stretches across their sides. Juveniles lack the belly banding and white feathering around the bill. Both juveniles and adults have orangish legs.",https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
28,Black Vulture,Black Vulture,species_label,likely_covered_species_page,Black Vulture,https://www.allaboutbirds.org/guide/Black_Vulture/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Black Vultures are large raptors. In flight, they hold their broad, rounded wings flat and angled slightly forward. The tail is very short and rounded. They have small, bare heads and narrow but strongly hooked bills. These birds are uniform black except for white patches or “stars” on the underside of their wingtips (this can be hard to see in strong light or from far away). The bare skin of the head is black.",https://www.allaboutbirds.org/guide/Black_Vulture/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
29,American White Pelican,American White Pelican,species_label,likely_covered_species_page,American White Pelican,https://www.allaboutbirds.org/guide/American_White_Pelican/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A huge waterbird with very broad wings, a long neck, and a massive bill that gives the head a unique, long shape. They have thick bodies, short legs, and short, square tails. During the breeding season, adults grow an unusual projection or horn on the upper mandible near the tip of the bill. Adult American White Pelicans are snowy white with black flight feathers visible only when the wings are spread. A small patch of ornamental feathers on the chest can become yellow in spring. The bill and legs are yellow-orange. Immatures are mostly white as well, but the head, neck, and back are variably dusky.",https://www.allaboutbirds.org/guide/American_White_Pelican/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
30,Killdeer,Killdeer,species_label,likely_covered_species_page,Killdeer,https://www.allaboutbirds.org/guide/Killdeer/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Killdeer have the characteristic large, round head, large eye, and short bill of all plovers. They are especially slender and lanky, with a long, pointed tail and long wings. Brownish-tan on top and white below. The white chest is barred with two black bands, and the brown face is marked with black and white patches. The bright orange-buff rump is conspicuous in flight.",https://www.allaboutbirds.org/guide/Killdeer/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
31,Red-headed Woodpecker,Red-headed Woodpecker,species_label,likely_covered_species_page,Red-headed Woodpecker,https://www.allaboutbirds.org/guide/Red-headed_Woodpecker/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Red-headed Woodpeckers are medium-sized woodpeckers with fairly large, rounded heads, short, stiff tails, and powerful, spike-like bills. Adults have bright-red heads, white underparts, and black backs with large white patches in the wings, making the lower back appear all white when perched. Immatures have gray-brown heads, and the white wing patches show rows of black spots near the trailing edge.",https://www.allaboutbirds.org/guide/Red-headed_Woodpecker/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
32,Shrikes,Shrikes,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
33,Snow Goose,Snow Goose,species_label,likely_covered_species_page,Snow Goose,https://www.allaboutbirds.org/guide/Snow_Goose/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A medium-sized goose with a hefty bill and long, thick neck. Juveniles are slightly smaller than adults in the fall, and this can be noticeable in flocks during fall and early winter. The Snow Goose is a white-bodied goose with black wingtips that are barely visible on the ground but noticeable in flight. The pink bill has a dark line along it, often called a ""grinning patch"" or ""black lips."" You may also see dark morph Snow Geese, or ""Blue Geese,"" with a white face, dark brown body, and white under the tail.",https://www.allaboutbirds.org/guide/Snow_Goose/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
34,Chimney Swift,Chimney Swift,species_label,likely_covered_species_page,Chimney Swift,https://www.allaboutbirds.org/guide/Chimney_Swift/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Chimney Swifts are very small birds with slender bodies and very long, narrow, curved wings. They have round heads, short necks, and short, tapered tails. The wide bill is so short that it is hard to see. They are dark gray-brown all over, slightly paler on the throat. At distance and when backlit against they sky they can appear to be all black.",https://www.allaboutbirds.org/guide/Chimney_Swift/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
35,American Oystercatcher,American Oystercatcher,species_label,likely_covered_species_page,American Oystercatcher,https://www.allaboutbirds.org/guide/American_Oystercatcher/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large, thickset shorebird with a long, stout bill, a large head, robust neck, and long, thick legs. American Oystercatchers look black-and-white from a distance, with a bright orange-red bill. At closer range, the back and wings are brown, with a black head and breast, white underparts, yellow eye, and red eyering. In flight, look for a white wingbar and white tail base.",https://www.allaboutbirds.org/guide/American_Oystercatcher/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
36,Ross's Goose,Ross's Goose,species_label,likely_covered_species_page,Ross's Goose,https://www.allaboutbirds.org/guide/Rosss_Goose/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A small goose with stocky body, a rather short neck, and a stubby bill that is neatly triangular in shape. Adults are white with black wingtips. The bill is pink and lacks the broad black edges of the bill (known as a “grinning patch”) that Snow Geese show. Rare “blue” morphs have mostly dark bodies and wings, with a white face. Immatures are white tinged with gray and have a dark bill.",https://www.allaboutbirds.org/guide/Rosss_Goose/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
37,Barn Owl,Barn Owl,species_label,likely_covered_species_page,Barn Owl,https://www.allaboutbirds.org/guide/Barn_Owl/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"These medium-sized owls have long, rounded wings and short tails, which combine with a buoyant, loping flight to give them a distinctive flight style. The legs are long and the head is smoothly rounded, without ear tufts. American Barn Owls are pale overall with dark eyes. They have a mix of buff and gray on the head, back, and upperwings, and are white on the face, body, and underwings. When seen at night they can appear all white.",https://www.allaboutbirds.org/guide/Barn_Owl/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
38,Vireos,Vireos,group_or_family_label,not_one_to_one_species_description,,https://www.allaboutbirds.org/guide/browse/taxonomy,"Higher-level taxonomy/class node, not a species class. Use only for hierarchy context, not class-level expert description.",not_applicable_group_or_family_label,,https://www.allaboutbirds.org/guide/browse/taxonomy,no,,Higher-level taxonomy label; do not use as class-level species description.,Store compact normalized visual traits + URL; avoid redistributing long raw webpage text.
39,Black Oystercatcher,Black Oystercatcher,species_label,likely_covered_species_page,Black Oystercatcher,https://www.allaboutbirds.org/guide/Black_Oystercatcher/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A large, heavyset shorebird with a very long, thick straight bill. The neck is heavy and the legs are long and thick. Adults are blackish with a brilliant orange-red bill and yellow eye ringed with red. At close range the wings, tail, and back are dark brown. Juveniles are brownish overall, with outer portion of bill dusky.",https://www.allaboutbirds.org/guide/Black_Oystercatcher/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
40,Turkey Vulture,Turkey Vulture,species_label,likely_covered_species_page,Turkey Vulture,https://www.allaboutbirds.org/guide/Turkey_Vulture/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Turkey Vultures are large dark birds with long, broad wings. Bigger than other raptors except eagles and condors, they have long ""fingers"" at their wingtips and long tails that extend past their toe tips in flight. When soaring, Turkey Vultures hold their wings slightly raised, making a ‘V’ when seen head-on. Turkey Vultures appear black from a distance but up close are dark brown with a featherless red head and pale bill. While most of their body and forewing are dark, the undersides of the flight feathers (along the trailing edge and wingtips) are paler, giving a two-toned appearance.",https://www.allaboutbirds.org/guide/Turkey_Vulture/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
41,Brown Pelican,Brown Pelican,species_label,likely_covered_species_page,Brown Pelican,https://www.allaboutbirds.org/guide/Brown_Pelican/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Brown Pelicans are huge, stocky seabirds. They have thin necks and very long bills with a stretchy throat pouch used for capturing fish. Their wings are very long and broad and are often noticeably bowed when the birds are gliding. Adult Brown Pelicans are gray-brown birds with yellow heads and white necks. In breeding plumage, the back and sides of the neck turn a rich, dark reddish-brown. Immatures are gray-brown above (including the head and neck) with pale whitish belly and breast.",https://www.allaboutbirds.org/guide/Brown_Pelican/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
42,Brant,Brant,species_label,likely_covered_species_page,Brant,https://www.allaboutbirds.org/guide/Brant/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A compact, small goose with a stubby bill and a relatively short neck compared to most geese. Adults have a black head, neck, and breast with variable white neck markings. They have, brown wings, white undertail, and pale flanks and belly that can vary from pale brown (in eastern North America) to blackish (in the West). Juveniles have pale fringes on the wing coverts and little or no white on the neck.",https://www.allaboutbirds.org/guide/Brant/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
43,Scaled Quail,Scaled Quail,species_label,likely_covered_species_page,Scaled Quail,https://www.allaboutbirds.org/guide/Scaled_Quail/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A compact chickenlike bird with a small head and a distinctive short crest. It has a plump body, short tail, and short, strong legs. Adults are pale brownish with elegant dark scaling on the underparts. The head is plain brown with a buffy accent on the crest. The back is bluish gray and the wings are brown stippled with buff. Juveniles are similar but have a shorter crest, and the upperwing has a more ornate pattern.",https://www.allaboutbirds.org/guide/Scaled_Quail/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
44,Northern Gannet,Northern Gannet,species_label,likely_covered_species_page,Northern Gannet,https://www.allaboutbirds.org/guide/Northern_Gannet/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A nearly albatross-sized, heavy-bodied seabird, with long, pointed wings, tail, and bill. Adults are snow white with black wingtips and yellow heads; juveniles are uniformly sooty brown; and subadults are intermediate between these plumages, often appearing a patchwork of dark and light feathering.",https://www.allaboutbirds.org/guide/Northern_Gannet/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
45,Rock Pigeon,Rock Pigeon,species_label,likely_covered_species_page,Rock Pigeon,https://www.allaboutbirds.org/guide/Rock_Pigeon/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Larger and plumper than a Mourning Dove, Rock Pigeons are tubby birds with small heads and short legs. Their wings are broad but pointed wings and the tail is wide and rounded. Variable in color, but most birds are bluish gray with two black bands on the wing and a black tip to the tail. Most birds have iridescent throat feathers. Wing patterns may include two bars, dark spots, or can be plain. The tail is usually dark tipped.",https://www.allaboutbirds.org/guide/Rock_Pigeon/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
46,Black-necked Stilt,Black-necked Stilt,species_label,likely_covered_species_page,Black-necked Stilt,https://www.allaboutbirds.org/guide/Black-necked_Stilt/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"A tall but small-bodied shorebird with very long legs, a long neck, small head, and thin, straight bill. These birds are black above and white below, with white around the eye and rosy pink legs. In females and immatures the black areas can be brownish.",https://www.allaboutbirds.org/guide/Black-necked_Stilt/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
47,Acorn Woodpecker,Acorn Woodpecker,species_label,likely_covered_species_page,Acorn Woodpecker,https://www.allaboutbirds.org/guide/Acorn_Woodpecker/id,Expected to have an All About Birds species page with ID info / Four Keys sections.,found_raw_visual_sections_needs_normalization,"Acorn Woodpeckers are medium-sized woodpeckers with straight, spike-like bills and stiff, wedge-shaped tails used for support as the birds cling to tree trunks. These striking birds are mostly black above with a red cap, creamy white face, and black patch around the bill. In flight, they show three patches of white: one in each wing and one on the rump. Females have less red on the crown than males.",https://www.allaboutbirds.org/guide/Acorn_Woodpecker/id,yes_local_fetch,Size & Shape; Color Pattern,Extracted Size & Shape / Color Pattern text; consider normalizing into compact attributes before model release.,For class project use only; store compact normalized traits + source URL rather than long raw text.
