class_id,class_label,recommended_name,expert_visual_description,expert_visual_description_text
40,Turkey Vulture,Turkey Vulture,"[""dark large long broad wings"", ""red head"", ""pale bill""]","A bird with dark large long broad wings, red head, and pale bill."
41,Brown Pelican,Brown Pelican,"[""huge body"", ""stocky seabirds"", ""thin white neck"", ""long bill"", ""long throat"", ""gray-brown yellow head"", ""dark reddish-brown plumage"", ""gray-brown upperparts"", ""pale whitish belly"", ""pale whitish breast""]","A bird with huge body, stocky seabirds, thin white neck, long bill, long throat, gray-brown yellow head, dark reddish-brown plumage, gray-brown upperparts, pale whitish belly, and pale whitish breast."
42,Brant,Brant,"[""compact body"", ""short black white neck"", ""black head"", ""black breast"", ""brown wings"", ""white undertail"", ""pale flank"", ""pale belly""]","A bird with compact body, short black white neck, black head, black breast, brown wings, white undertail, pale flank, and pale belly."
43,Scaled Quail,Scaled Quail,"[""compact chicken-body"", ""small head"", ""short crest"", ""plump body"", ""short tail"", ""short strong legs"", ""buff plumage""]","A bird with compact chicken-body, small head, short crest, plump body, short tail, short strong legs, and buff plumage."
44,Northern Gannet,Northern Gannet,"[""heavy body"", ""long pointed wings"", ""long pointed tail"", ""long pointed bill"", ""snow white uniformly sooty brown appearing patchwork dark plumage"", ""black wingtips"", ""yellow head"", ""light feathering""]","A bird with heavy body, long pointed wings, long pointed tail, long pointed bill, snow white uniformly sooty brown appearing patchwork dark plumage, black wingtips, yellow head, and light feathering."
45,Rock Pigeon,Rock Pigeon,"[""broad pointed wings"", ""broad pointed two black tail"", ""rounded body"", ""most bluish gray plumage"", ""two black bands"", ""iridescent throat"", ""two bars"", ""dark spots""]","A bird with broad pointed wings, broad pointed two black tail, rounded body, most bluish gray plumage, two black bands, iridescent throat, two bars, and dark spots."
46,Black-necked Stilt,Black-necked Stilt,"[""small body"", ""long pink legs"", ""long neck"", ""small head"", ""thin straight bill"", ""black upperparts"", ""white underparts"", ""white eye"", ""brownish-black plumage""]","A bird with small body, long pink legs, long neck, small head, thin straight bill, black upperparts, white underparts, white eye, and brownish-black plumage."
47,Acorn Woodpecker,Acorn Woodpecker,"[""medium-sized body"", ""straight spike-like creamy white bill"", ""wedge-shaped tail"", ""black upperparts"", ""red cap"", ""creamy white face"", ""black patches"", ""red crown""]","A bird with medium-sized body, straight spike-like creamy white bill, wedge-shaped tail, black upperparts, red cap, creamy white face, black patches, and red crown."
48,"Jays, Magpies, and Crows",,[],
49,Pied-billed Grebe,Pied-billed Grebe,"[""small chunky swimming compact large body"", ""slender neck"", ""slender head"", ""short thick bill"", ""tawny-brown underparts""]","A bird with small chunky swimming compact large body, slender neck, slender head, short thick bill, and tawny-brown underparts."
50,American Avocet,American Avocet,"[""large slender white body"", ""long upturned bill"", ""long rusty neck"", ""round rusty head"", ""long legs"", ""black patches"", ""black-and-white wings""]","A bird with large slender white body, long upturned bill, long rusty neck, round rusty head, long legs, black patches, and black-and-white wings."
51,Cackling Goose,Cackling Goose,"[""compact body"", ""small short black neck"", ""rounded crown"", ""long wings"", ""short blackish legs"", ""small blackish bill"", ""small forehead"", ""brown plumage"", ""black head"", ""white cheek"", ""white throat"", ""white undertail"", ""blackish feet""]","A bird with compact body, small short black neck, rounded crown, long wings, short blackish legs, small blackish bill, small forehead, brown plumage, black head, white cheek, white throat, white undertail, and blackish feet."
52,Vaux's Swift,Vaux's Swift,"[""small body"", ""long narrow swept-back wings"", ""brownish plumage""]","A bird with small body, long narrow swept-back wings, and brownish plumage."
53,Osprey,Osprey,"[""large distinctively shaped body"", ""long narrow wings"", ""long legs"", ""brown upperparts"", ""white underparts"", ""prominent dark patches"", ""broad brown stripes"", ""white spots"", ""white breast""]","A bird with large distinctively shaped body, long narrow wings, long legs, brown upperparts, white underparts, prominent dark patches, broad brown stripes, white spots, and white breast."
54,Crested Caracara,Crested Caracara,"[""medium-sized body"", ""bulky raptor"", ""long black-and-white yellow-orange legs"", ""flat head"", ""shaggy crest"", ""white yellow-orange bill"", ""black cap"", ""white neck"", ""white cheek""]","A bird with medium-sized body, bulky raptor, long black-and-white yellow-orange legs, flat head, shaggy crest, white yellow-orange bill, black cap, white neck, and white cheek."
55,Larks,,[],
56,Spotted Sandpiper,Spotted Sandpiper,"[""medium-sized body"", ""rounded bright white breast"", ""spotted bold dark spots"", ""orange bill"", ""plain white plumage""]","A bird with medium-sized body, rounded bright white breast, spotted bold dark spots, orange bill, and plain white plumage."
57,Canada Goose,Canada Goose,"[""long black neck"", ""large body"", ""large feet"", ""wide flat bill"", ""black head"", ""white cheek"", ""tan breast"", ""brown back""]","A bird with long black neck, large body, large feet, wide flat bill, black head, white cheek, tan breast, and brown back."
58,Great Blue Heron,Great Blue Heron,"[""long legs"", ""long neck"", ""long bill"", ""wide black stripes""]","A bird with long legs, long neck, long bill, and wide black stripes."
59,Solitary Sandpiper,Solitary Sandpiper,"[""small slender body"", ""long neck"", ""long bill"", ""long wings"", ""long legs"", ""dark olive-brown upperparts"", ""white eyering"", ""pale underparts"", ""white brown plumage"", ""dark underwing feathers"", ""white belly""]","A bird with small slender body, long neck, long bill, long wings, long legs, dark olive-brown upperparts, white eyering, pale underparts, white brown plumage, dark underwing feathers, and white belly."
60,Mute Swan,Mute Swan,"[""large heavy body"", ""short legs"", ""long slender neck"", ""large flat gray-black bill"", ""white plumage""]","A bird with large heavy body, short legs, long slender neck, large flat gray-black bill, and white plumage."
61,Purple Gallinule,Purple Gallinule,"[""short tail"", ""compact body"", ""long bright yellow brown legs"", ""greenish wings"", ""greenish back"", ""yellow-tipped red brown bill"", ""bright yellow feet"", ""brown upperparts"", ""brown underparts""]","A bird with short tail, compact body, long bright yellow brown legs, greenish wings, greenish back, yellow-tipped red brown bill, bright yellow feet, brown upperparts, and brown underparts."
62,Western Screech-Owl,Western Screech-Owl,"[""small stocky body"", ""square head"", ""square neck"", ""square ear tufts"", ""white breast"", ""white belly"", ""dark spidery streaks"", ""dark arcs plumage""]","A bird with small stocky body, square head, square neck, square ear tufts, white breast, white belly, dark spidery streaks, and dark arcs plumage."
63,Gila Woodpecker,Gila Woodpecker,"[""medium-sized body"", ""long pointed bill"", ""grayish-brown brilliant black plumage"", ""red patches""]","A bird with medium-sized body, long pointed bill, grayish-brown brilliant black plumage, and red patches."
64,Swallows,,[],
65,Greater Yellowlegs,Greater Yellowlegs,"[""large lanky body"", ""long legs"", ""long dark finely streaked neck"", ""thick-based upturned bill"", ""dark bands"", ""finely streaked head"", ""bright white eyering"", ""occasionally orange plumage""]","A bird with large lanky body, long legs, long dark finely streaked neck, thick-based upturned bill, dark bands, finely streaked head, bright white eyering, and occasionally orange plumage."
66,Swallow-tailed Kite,Swallow-tailed Kite,"[""large slender slim body"", ""long narrow pointed gleaming black wings"", ""forked gleaming black tail"", ""bright-white head"", ""gleaming black back""]","A bird with large slender slim body, long narrow pointed gleaming black wings, forked gleaming black tail, bright-white head, and gleaming black back."
67,Trumpeter Swan,Trumpeter Swan,"[""heavy body"", ""long neck"", ""large black bill"", ""white gray-brown plumage"", ""black legs""]","A bird with heavy body, long neck, large black bill, white gray-brown plumage, and black legs."
68,White-throated Swift,White-throated Swift,"[""large long slim body"", ""long narrow wings"", ""blackish brown white throat"", ""brown white breast"", ""brown white belly"", ""white flank"", ""white secondaries""]","A bird with large long slim body, long narrow wings, blackish brown white throat, brown white breast, brown white belly, white flank, and white secondaries."
69,Chickadees and Titmice,,[],
70,Willet,Willet,"[""large stocky body"", ""long legs"", ""thick straight bill"", ""gray-brown willets mottled gray plumage""]","A bird with large stocky body, long legs, thick straight bill, and gray-brown willets mottled gray plumage."
71,Great Egret,Great Egret,"[""long legs"", ""long-curved neck"", ""long dagger-like bill"", ""feathers great white""]","A bird with long legs, long-curved neck, long dagger-like bill, and feathers great white."
72,Tundra Swan,Tundra Swan,"[""large heavy body"", ""long neck"", ""sloping bill"", ""white plumage"", ""yellow spots"", ""gray-tinged wings""]","A bird with large heavy body, long neck, sloping bill, white plumage, yellow spots, and gray-tinged wings."
73,California Quail,California Quail,"[""plump body"", ""small head"", ""small bill"", ""broad wings"", ""rich gray plainer brown plumage"", ""brown black face"", ""bold white stripes"", ""pattern white""]","A bird with plump body, small head, small bill, broad wings, rich gray plainer brown plumage, brown black face, bold white stripes, and pattern white."
74,Red-throated Loon,Red-throated Loon,"[""large seabird"", ""long narrow pointed wings"", ""grayish-brown blackish upperparts"", ""pale white underparts"", ""pale gray white neck"", ""rusty throat"", ""pale gray patches"", ""thin black-and-white stripes"", ""pale gray back"", ""pale gray side"", ""pale gray breast"", ""white face""]","A bird with large seabird, long narrow pointed wings, grayish-brown blackish upperparts, pale white underparts, pale gray white neck, rusty throat, pale gray patches, thin black-and-white stripes, pale gray back, pale gray side, pale gray breast, and white face."
75,Brandt's Cormorant,Brandt's Cormorant,"[""large heavy body"", ""long buffy neck"", ""long bill"", ""medium-length tail"", ""short legs"", ""short feet"", ""blackish uniformly black brownish plumage"", ""blue eye"", ""blue throat"", ""buffy bands"", ""buffy head"", ""buffy shoulder""]","A bird with large heavy body, long buffy neck, long bill, medium-length tail, short legs, short feet, blackish uniformly black brownish plumage, blue eye, blue throat, buffy bands, buffy head, and buffy shoulder."
76,Band-tailed Pigeon,Band-tailed Pigeon,"[""large stocky body"", ""small head"", ""long rounded tail"", ""thick-based pointed wings"", ""blue-gray upperparts"", ""purplish-gray underparts"", ""blue-gray back"", ""blue-gray neck"", ""pale gray bands"", ""dark wingtips noticeable""]","A bird with large stocky body, small head, long rounded tail, thick-based pointed wings, blue-gray upperparts, purplish-gray underparts, blue-gray back, blue-gray neck, pale gray bands, and dark wingtips noticeable."
77,Yellow-billed Cuckoo,Yellow-billed Cuckoo,"[""large long slim thin body"", ""long flat head"", ""long tail"", ""warm brown upperparts"", ""clean whitish underparts"", ""yellow eyering"", ""wide white bands"", ""narrower black ones plumage""]","A bird with large long slim thin body, long flat head, long tail, warm brown upperparts, clean whitish underparts, yellow eyering, wide white bands, and narrower black ones plumage."
78,Lesser Yellowlegs,Lesser Yellowlegs,"[""slender medium-sized body"", ""long yellow legs"", ""long neck"", ""yellowlegs grayish-brown subdued gray-brown plumage"", ""white eyering"", ""white spots"", ""white back"", ""white wings""]","A bird with slender medium-sized body, long yellow legs, long neck, yellowlegs grayish-brown subdued gray-brown plumage, white eyering, white spots, white back, and white wings."
79,Golden-fronted Woodpecker,Golden-fronted Woodpecker,"[""medium-sized grayish-brown body"", ""long pointed bill"", ""grayish-brown head"", ""golden nape"", ""golden tuft"", ""black-and-white barred wings"", ""black tail""]","A bird with medium-sized grayish-brown body, long pointed bill, grayish-brown head, golden nape, golden tuft, black-and-white barred wings, and black tail."
80,Verdin,Verdin,"[""tiny chickadee-like slight body"", ""moderately long tail"", ""small grayish yellow head"", ""tiny pointed bill"", ""small chestnut patches""]","A bird with tiny chickadee-like slight body, moderately long tail, small grayish yellow head, tiny pointed bill, and small chestnut patches."
81,Wood Duck,Wood Duck,"[""thin neck"", ""long body"", ""broad tail"", ""short wings"", ""glossy green warm brown gray crest"", ""chestnut breast"", ""buff side"", ""red bill"", ""red brown gray eye"", ""brown gray patches""]","A bird with thin neck, long body, broad tail, short wings, glossy green warm brown gray crest, chestnut breast, buff side, red bill, red brown gray eye, and brown gray patches."
82,Whimbrel,Whimbrel,"[""large long curved bill"", ""long neck"", ""long legs"", ""pointed tail"", ""brownish upperparts"", ""pale feather edges"", ""tan underparts"", ""neat dark stippling"", ""most narrow dark eyeline body""]","A bird with large long curved bill, long neck, long legs, pointed tail, brownish upperparts, pale feather edges, tan underparts, neat dark stippling, and most narrow dark eyeline body."
83,White-tailed Kite,White-tailed Kite,"[""small-to-medium pale raptor"", ""narrow pointed wings"", ""long white tail"", ""white head"", ""black shoulder"", ""white patches"", ""red eye"", ""red body""]","A bird with small-to-medium pale raptor, narrow pointed wings, long white tail, white head, black shoulder, white patches, red eye, and red body."
84,Horned Grebe,Horned Grebe,"[""small compact waterbird"", ""compact body"", ""short rich rusty cinnamon neck"", ""short head"", ""straight narrow bill"", ""dark gray-black back"", ""rich rusty cinnamon side"", ""long yellow tuft"", ""grayish upperparts"", ""white underparts"", ""white cheek""]","A bird with small compact waterbird, compact body, short rich rusty cinnamon neck, short head, straight narrow bill, dark gray-black back, rich rusty cinnamon side, long yellow tuft, grayish upperparts, white underparts, and white cheek."
85,Snowy Egret,Snowy Egret,"[""medium-sized long slender body"", ""long thin black greenish legs"", ""long thin white black bill"", ""long thin neck"", ""small head"", ""yellow feet""]","A bird with medium-sized long slender body, long thin black greenish legs, long thin white black bill, long thin neck, small head, and yellow feet."
86,Long-billed Curlew,Long-billed Curlew,"[""large long legs"", ""long thin curved bill"", ""heavy football-shaped body"", ""long neck"", ""small round head"", ""pale cinnamon wash throughout"", ""plain cinnamon belly""]","A bird with large long legs, long thin curved bill, heavy football-shaped body, long neck, small round head, pale cinnamon wash throughout, and plain cinnamon belly."
87,Gadwall,Gadwall,"[""large body"", ""square head"", ""square forehead"", ""gray-brown black patches"", ""brown buff plumage"", ""dark bill""]","A bird with large body, square head, square forehead, gray-brown black patches, brown buff plumage, and dark bill."
88,Eastern Screech-Owl,Eastern Screech-Owl,"[""short stocky body"", ""large pointed ear head"", ""large neck"", ""pointed ear tufts""]","A bird with short stocky body, large pointed ear head, large neck, and pointed ear tufts."
89,Bushtits,,[],
90,Broad-billed Hummingbird,Broad-billed Hummingbird,"[""small body"", ""long straight red bill"", ""long straight fuller tail"", ""rich green plumage"", ""blue throat"", ""golden-green upperparts"", ""gray underparts"", ""white line"", ""gray eye""]","A bird with small body, long straight red bill, long straight fuller tail, rich green plumage, blue throat, golden-green upperparts, gray underparts, white line, and gray eye."
91,Marbled Godwit,Marbled Godwit,"[""large long legs"", ""upturned bill"", ""small round head"", ""thin neck"", ""barred upperparts"", ""barred underparts"", ""black tip""]","A bird with large long legs, upturned bill, small round head, thin neck, barred upperparts, barred underparts, and black tip."
92,American Wigeon,American Wigeon,"[""medium-sized compact body"", ""short pale gray bill"", ""round brownish-gray warm brown head"", ""wide green stripes"", ""brownish-gray eye"", ""gleaming white cap"", ""white patches""]","A bird with medium-sized compact body, short pale gray bill, round brownish-gray warm brown head, wide green stripes, brownish-gray eye, gleaming white cap, and white patches."
93,Mississippi Kite,Mississippi Kite,"[""small slender raptor"", ""long pointed wings"", ""long square-tipped hooked tail"", ""hooked bill"", ""gray plumage"", ""hooked secondaries"", ""black wingtips""]","A bird with small slender raptor, long pointed wings, long square-tipped hooked tail, hooked bill, gray plumage, hooked secondaries, and black wingtips."
94,American Kestrel,American Kestrel,"[""slender body"", ""narrow slate-blue wings"", ""long square-tipped tail"", ""pale plumage""]","A bird with slender body, narrow slate-blue wings, long square-tipped tail, and pale plumage."
95,Red-bellied Woodpecker,Red-bellied Woodpecker,"[""rounded head"", ""pale even boldly black plumage"", ""red cap"", ""red nape"", ""white patches""]","A bird with rounded head, pale even boldly black plumage, red cap, red nape, and white patches."
96,Nuthatches,,[],
97,Ruddy Turnstone,Ruddy Turnstone,"[""short stocky body"", ""upturned bill"", ""unique black plumage"", ""brown ghosting pattern"", ""orange legs""]","A bird with short stocky body, upturned bill, unique black plumage, brown ghosting pattern, and orange legs."
98,American Black Duck,American Black Duck,"[""rounded pale gray-brown head"", ""thick yellow-green bill"", ""bulky dark brown body""]","A bird with rounded pale gray-brown head, thick yellow-green bill, and bulky dark brown body."
99,Little Blue Heron,Little Blue Heron,"[""small slight dark slaty-blue body"", ""slender neck"", ""long greenish legs"", ""rounded wings"", ""rounded greenish bill"", ""dark white patchwork blue plumage"", ""rich purple-maroon head"", ""yellow eye""]","A bird with small slight dark slaty-blue body, slender neck, long greenish legs, rounded wings, rounded greenish bill, dark white patchwork blue plumage, rich purple-maroon head, and yellow eye."
100,Black Turnstone,Black Turnstone,"[""small stout short upturned bill"", ""short neck"", ""short legs"", ""white belly"", ""bold black plumage"", ""white pattern"", ""white spots"", ""white breast"", ""two white stripes"", ""white back"", ""white tail""]","A bird with small stout short upturned bill, short neck, short legs, white belly, bold black plumage, white pattern, white spots, white breast, two white stripes, white back, and white tail."
101,Creepers,,[],
102,Mallard,Mallard,"[""large hefty gray body"", ""rounded dark iridescent green head"", ""wide flat bright yellow brown mottled orange-brown bill"", ""brown breast"", ""black rear"", ""white-bordered blue speculum""]","A bird with large hefty gray body, rounded dark iridescent green head, wide flat bright yellow brown mottled orange-brown bill, brown breast, black rear, and white-bordered blue speculum."
103,Gambel's Quail,Gambel's Quail,"[""plump broad fuller neither strongly scaled california body"", ""volleyball-sized short neck"", ""small bill"", ""square tail"", ""small strong head"", ""richly patterned gray chestnut cream plumage"", ""bright rufous crest"", ""chestnut flank"", ""white creamy belly"", ""black patches""]","A bird with plump broad fuller neither strongly scaled california body, volleyball-sized short neck, small bill, square tail, small strong head, richly patterned gray chestnut cream plumage, bright rufous crest, chestnut flank, white creamy belly, and black patches."
104,Neotropic Cormorant,Neotropic Cormorant,"[""slim waterbird"", ""small long neck"", ""long tail"", ""straight bill"", ""broad wings"", ""broad feet"", ""thin white line""]","A bird with slim waterbird, small long neck, long tail, straight bill, broad wings, broad feet, and thin white line."
105,Eurasian Collared-Dove,Eurasian Collared-Dove,"[""plump rounded body"", ""small head"", ""long broad tail"", ""chalky light brown gray-buff plumage"", ""broad white patches""]","A bird with plump rounded body, small head, long broad tail, chalky light brown gray-buff plumage, and broad white patches."
106,Surfbird,Surfbird,"[""short thick bill"", ""short neck"", ""short tail"", ""short thick legs"", ""light stippled muddy brownish-gray plumage"", ""dark rufous upperparts"", ""black streaks"", ""whitish chin"", ""white belly"", ""bold black tip""]","A bird with short thick bill, short neck, short tail, short thick legs, light stippled muddy brownish-gray plumage, dark rufous upperparts, black streaks, whitish chin, white belly, and bold black tip."
107,Ruby-throated Hummingbird,Ruby-throated Hummingbird,"[""small slender body"", ""downcurved bill"", ""short wings"", ""golden-green back"", ""gray-white underparts"", ""iridescent red throat""]","A bird with small slender body, downcurved bill, short wings, golden-green back, gray-white underparts, and iridescent red throat."
108,Bald Eagle,Bald Eagle,"[""heavy dark brown body"", ""large white dark head"", ""long hooked bill"", ""white dark tail"", ""dark brown wings"", ""white varying amounts plumage""]","A bird with heavy dark brown body, large white dark head, long hooked bill, white dark tail, dark brown wings, and white varying amounts plumage."
109,Mottled Duck,Mottled Duck,"[""large body"", ""brown rich buff greenish yellow orangeish plumage"", ""yellow bill"", ""black patches"", ""buffy face"", ""buffy throat"", ""dark markings"", ""white tail""]","A bird with large body, brown rich buff greenish yellow orangeish plumage, yellow bill, black patches, buffy face, buffy throat, dark markings, and white tail."
110,Common Gallinule,Common Gallinule,"[""medium-sized marsh-bird body"", ""long legs"", ""small head"", ""thin neck"", ""small thin red bill"", ""charcoal gray plumage"", ""white stripes"", ""white tail feathers""]","A bird with medium-sized marsh-bird body, long legs, small head, thin neck, small thin red bill, charcoal gray plumage, white stripes, and white tail feathers."
111,Great Horned Owl,Great Horned Owl,"[""large thick rounded body"", ""large thick tuft"", ""large thick head"", ""mottled gray-brown reddish-brown face"", ""white patches"", ""reddish-brown throat""]","A bird with large thick rounded body, large thick tuft, large thick head, mottled gray-brown reddish-brown face, white patches, and reddish-brown throat."
112,Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,"[""small body"", ""straight bill"", ""long wings"", ""pointed tail"", ""black bold plumage"", ""red foreheads"", ""red throat"", ""long white stripes"", ""black chest"", ""white yellowish underparts""]","A bird with small body, straight bill, long wings, pointed tail, black bold plumage, red foreheads, red throat, long white stripes, black chest, and white yellowish underparts."
113,Wrens,,[],
114,Sanderling,Sanderling,"[""small plump body"", ""spangled black plumage"", ""white rich rufous head"", ""rich rufous neck"", ""rich rufous back""]","A bird with small plump body, spangled black plumage, white rich rufous head, rich rufous neck, and rich rufous back."
115,Tricolored Heron,Tricolored Heron,"[""medium-sized slim body"", ""long thin rusty neck"", ""small head"", ""blue-gray lavender white plumage"", ""bright blue patches"", ""pink yellowish legs"", ""rusty edged feathers""]","A bird with medium-sized slim body, long thin rusty neck, small head, blue-gray lavender white plumage, bright blue patches, pink yellowish legs, and rusty edged feathers."
116,Blue-winged Teal,Blue-winged Teal,"[""small dabbling-duck brown body"", ""large side"", ""brown breast"", ""slaty-blue head"", ""brown bill"", ""small white flank"", ""brown patches"", ""black rear"", ""patterned brown plumage""]","A bird with small dabbling-duck brown body, large side, brown breast, slaty-blue head, brown bill, small white flank, brown patches, black rear, and patterned brown plumage."
117,Semipalmated Sandpiper,Semipalmated Sandpiper,"[""small plump body"", ""dappled brown plumage"", ""black gold rufous grayish-brown upperparts"", ""pale underparts"", ""dark legs"", ""brown flank""]","A bird with small plump body, dappled brown plumage, black gold rufous grayish-brown upperparts, pale underparts, dark legs, and brown flank."
118,Red-necked Grebe,Red-necked Grebe,"[""dark gray upperparts"", ""dark gray underparts"", ""pale white cheek"", ""pale side"", ""pale neck"", ""rusty red breast"", ""black cap""]","A bird with dark gray upperparts, dark gray underparts, pale white cheek, pale side, pale neck, rusty red breast, and black cap."
119,Gnatcatchers,,[],
120,Northern Harrier,Northern Harrier,"[""slender body"", ""medium-sized raptors"", ""broad whitish wings"", ""long rounded black-banded tail"", ""flat owl-like face"", ""small sharply hooked bill"", ""v-shape gray upperparts"", ""whitish underparts"", ""black wingtips"", ""brown black bands"", ""whitish undersides"", ""brown streaks"", ""buffy plumage"", ""white rump""]","A bird with slender body, medium-sized raptors, broad whitish wings, long rounded black-banded tail, flat owl-like face, small sharply hooked bill, v-shape gray upperparts, whitish underparts, black wingtips, brown black bands, whitish undersides, brown streaks, buffy plumage, and white rump."
121,Western Sandpiper,Western Sandpiper,"[""small portly body"", ""long thin dark bill"", ""long pointed wings"", ""short tail"", ""medium-length dark legs"", ""black brown rufous plumage"", ""gold pale gray upperparts"", ""white whitish underparts"", ""extensive dark arrow-shaped streaks"", ""rufous crown"", ""rufous patches""]","A bird with small portly body, long thin dark bill, long pointed wings, short tail, medium-length dark legs, black brown rufous plumage, gold pale gray upperparts, white whitish underparts, extensive dark arrow-shaped streaks, rufous crown, and rufous patches."
